Requirement ID,Requirement Name,Policy Domain,Standard Mapping,Requirement Statement,Owner,Evidence Source,System of Record,Regulatory / Framework Mapping,Criticality,Status
ETP-RQ-0001,Enterprise Technology Policy Authority,Governance,ETS-002,The Bank shall maintain an approved Enterprise Technology Policy that governs technology decisions standards procedures and evidence expectations.,Head of Enterprise Architecture,Approved policy and revision history,GitHub / SharePoint / ServiceNow,FFIEC Management; OCC Heightened Standards; COBIT,High,Active
ETP-RQ-0002,Architecture Review Board Gate,Governance,ETS-001,The Bank shall require ARB review before material technology change implementation.,Head of Enterprise Architecture,ARB decision record,ServiceNow EA/APM,FFIEC AIO; OCC Heightened Standards; TOGAF,High,Active
ETP-RQ-0003,Architecture Repository,Architecture Frameworks,ETS-001,The Bank shall maintain an authoritative architecture repository for standards patterns decisions and architecture artifacts.,Head of Enterprise Architecture,Repository inventory and object records,ServiceNow EA/APM / GitHub,TOGAF; ISO 42010; COBIT,High,Active
ETP-RQ-0004,Canonical Governance Object Schema,Control Plane,ETS-002,The Bank shall maintain a canonical object schema for policies standards requirements controls evidence exceptions and architecture objects.,Head of Enterprise Architecture,Schema file and object inventory,GitHub / ServiceNow / Archer,COBIT; NIST CSF; TOGAF,Medium,Active
ETP-RQ-0005,Master Document Register,Document Governance,ETS-002,The Bank shall maintain a Master Document Register for controlled technology policy and standard artifacts.,Technology Governance Owner,Master Document Register,GitHub / SharePoint,FFIEC Management; COBIT,High,Active
ETP-RQ-0006,Master Requirements Register,Requirements Governance,ETS-002,The Bank shall maintain a Master Requirements Register for all mandatory technology policy requirements.,Technology Governance Owner,Master Requirements Register,GitHub / ServiceNow,COBIT; NIST CSF,High,Active
ETP-RQ-0007,Master Control Register,Control Governance,ETS-002,The Bank shall maintain a Master Control Register mapping policy requirements to control objectives owners evidence and audit method.,Technology Risk Owner,Master Control Register,Archer / ServiceNow IRM,FFIEC Management; NIST 800-53; COBIT,High,Active
ETP-RQ-0008,Regulatory Traceability Matrix,Regulatory Traceability,ETS-002,The Bank shall maintain a Regulatory Traceability Matrix mapping requirements and controls to regulatory and framework obligations.,Technology Risk Owner,RTM and mapping evidence,Archer / GitHub,FFIEC; OCC; FDIC; FRB; NIST; CIS; ISO,High,Active
ETP-RQ-0009,Architecture Principles,Architecture Strategy,ETS-001,The Bank shall maintain architecture principles with categories principles patterns and practices to guide architecture decisions.,Head of Enterprise Architecture,Architecture principles register,GitHub / ServiceNow EA,TOGAF; BIAN; COBIT,Medium,Active
ETP-RQ-0010,Business Capability Mapping,Business Architecture,ETS-001,The Bank shall map material technology changes to business capabilities and business services.,Business Architecture Owner,Capability mapping record,ServiceNow EA/APM/CSDM,BIAN; TOGAF; ServiceNow CSDM,High,Active
