Metric ID,Metric Name,Metric Type,Description,Owner,Executive Audience,Calculation,Frequency,Source System,Target Threshold,Alert Threshold,Related Requirement,Related Control,Status
MET-001,ARB Throughput,Operational,Measures number of architecture submissions reviewed by ARB,Head of Enterprise Architecture,CIO,Count of ARB submissions reviewed in period,Monthly,ServiceNow EA/APM,Trend stable or improving,Decline greater than 20 percent quarter over quarter,ETP-RQ-0002,CTRL-002,Active
MET-002,ARB Cycle Time,Operational,Measures elapsed business days from complete submission to ARB decision,Head of Enterprise Architecture,CIO;COO,Average business days from intake complete to decision,Monthly,ServiceNow EA/APM,Less than or equal to 10 business days,Greater than 15 business days,ETP-RQ-0002,CTRL-002,Active
MET-003,Material Change Pre-Approval Rate,Control Effectiveness,Measures percentage of material technology changes approved by ARB before implementation,Head of Enterprise Architecture,CIO;CRO,Approved-before-implementation count divided by total material changes,Monthly,ServiceNow Change;ServiceNow EA/APM,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0002,CTRL-002,Active
MET-004,Architecture Evidence Completeness,Control Effectiveness,Measures percentage of required evidence fields completed for ARB submissions,Head of Enterprise Architecture,CIO;Internal Audit,Completed required evidence items divided by required evidence items,Monthly,ServiceNow EA/APM;Archer,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0019,CTRL-019,Active
MET-005,Requirements Traceability Coverage,Control Effectiveness,Measures percentage of policy requirements mapped to controls and regulatory drivers,Technology Risk,CIO;CRO;Internal Audit,Requirements with control and regulatory mapping divided by total requirements,Quarterly,GitHub;Archer;ServiceNow IRM,100 percent,Less than 100 percent,ETP-RQ-0007,CTRL-007,Active
MET-006,Control Evidence Aging,Control Effectiveness,Measures controls with evidence older than required review cadence,Technology Risk,CRO;Internal Audit,Count of controls with stale evidence,Monthly,Archer;ServiceNow IRM,0 stale critical controls,Any stale critical control,ETP-RQ-0006,CTRL-006,Active
MET-007,Open Architecture Exceptions,Risk Indicator,Measures active architecture exceptions by severity and age,Head of Enterprise Architecture,CIO;CRO,Count of open exceptions grouped by severity and aging bucket,Monthly,ServiceNow EA/APM;Archer,No critical exceptions past due,Any critical exception past due,ETP-RQ-0020,CTRL-020,Active
MET-008,Waiver Remediation Timeliness,Risk Indicator,Measures percentage of waivers remediated by approved expiration date,Head of Enterprise Architecture,CIO;CRO,Waivers remediated on time divided by waivers due,Monthly,ServiceNow EA/APM;Archer,Greater than or equal to 95 percent,Less than 90 percent,ETP-RQ-0020,CTRL-020,Active
MET-009,Technology Lifecycle Risk,Key Risk Indicator,Measures technologies in contained sunset prohibited or unsupported states,CIO Delegate;Head of EA,CIO;CRO,Count by lifecycle state and criticality,Monthly,ServiceNow APM;CMDB;ITAM,Declining trend,Increase in critical unsupported technology,ETP-RQ-0012,CTRL-012,Active
MET-010,EOL/EOS Remediation Progress,Operational,Measures progress against approved technology lifecycle remediation plans,Technology Owners,CIO,Closed remediation items divided by planned remediation items,Monthly,ADO/Jira;ServiceNow,Greater than or equal to 90 percent on track,Less than 80 percent on track,ETP-RQ-0012,CTRL-012,Active
